time,m_filename_hash,m_mission_hash,m_present_time,m_speed,m_pitch,m_roll,m_heading,m_fin,m_depth,m_depth_rate,m_water_depth,m_pressure,m_altitude,m_battery,m_vacuum,m_ballast_pumped,m_de_oil_vol,m_battpos,m_thruster_power,m_thruster_current,c_pitch,c_roll,c_heading,c_fin,m_gps_x_lmc,m_gps_y_lmc,m_gps_fix_x_lmc,m_gps_fix_y_lmc,m_gps_status,m_gps_full_status,m_x_lmc,m_y_lmc,m_dr_time,m_dr_surf_x_lmc,m_dr_surf_y_lmc,m_ext_x_lmc,m_ext_y_lmc,m_ext_z_lmc,x_lmc_xy_source,c_wpt_x_lmc,c_wpt_y_lmc,m_lat,m_lon,m_gps_lat,m_gps_lon,c_wpt_lat,c_wpt_lon,m_water_vx,m_water_vy,m_vx_lmc,m_vy_lmc,m_coulomb_amphr,m_thruster_watthr,m_appear_to_be_at_surface,m_science_clothesline_lag,sci_m_present_time,x_software_ver
1617929234.13806,-7.754726824868482e+18,3.6966576867081027e+18,1617911234.13806,-0.0,0.233874,0.0,0.0,0.0,0.00547864,0.0,-1.0,0.000547864,0.0,13.1216,-0.893529,420.931,420.795,1.17555,0.0,0.0,0.0,0.0,0.0,0.0,-4.33747,-23.5903,0.0,0.0,0.0,0.0,-4.33747,-23.5903,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4131.00410006646,-7040.44540000607,4131.0041,-7040.4454,0.0,0.0,0.0,0.0,-0.0,0.0,0.0225,0.0,1.0,18.0934,1617911225.74884,8.2
1617929245.88379,-7.754726824868482e+18,3.6966576867081027e+18,1617911245.88379,,0.233874,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,13.1216,-0.890242,420.849,420.849,1.17388,,,,,0.181836,0.0,-4.65657,-25.2486,0.0,0.0,0.0,0.0,-4.65657,-25.2486,-1.0,0.0,0.0,,,,3.0,0.0,0.0,4131.00320006645,-7040.44560000607,4131.0032,-7040.4456,4131.01690006645,-7040.44270000607,,,-0.0,0.0,0.0225,,1.0,3.83514,1617911245.74692,
1617929251.36374,-7.754726824868482e+18,3.6966576867081027e+18,1617911251.36374,,0.233874,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,-0.891475,420.768,420.768,-0.000690476,,,,,0.182379,0.0,-4.82295,-26.3553,0.0,0.0,0.0,7.0,-4.82295,-26.3553,-1.0,0.0,0.0,,,,3.0,,,4131.00260006645,-7040.44570000607,4131.0026,-7040.4457,,,,,-0.0,0.0,0.0225,,1.0,4.38541,1617911249.73819,
1617929255.6629,-7.754726824868482e+18,3.6966576867081027e+18,1617911255.6629,,0.233874,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,-0.889421,420.876,420.985,0.0076398,,,,,0.180995,0.0,-5.1375,-27.8286,0.0,0.0,0.0,0.0,-5.1375,-27.8286,-1.0,0.0,0.0,,,,3.0,,,4131.00180006645,-7040.44590000607,4131.0018,-7040.4459,,,,,-0.0,0.0,0.0225,,1.0,0.589111,1617911257.74387,
1617929259.95596,-7.754726824868482e+18,3.6966576867081027e+18,1617911259.95596,,0.233874,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,420.985,429.73,-0.408874,,,,,,0.0,-6.40936,-34.277,0.0,0.0,0.0,0.0,-6.40936,-34.277,-1.0,0.0,0.0,,,,3.0,,,4130.99830006645,-7040.44670000607,4130.9983,-7040.4467,,,,,-0.0,0.0,0.02375,,1.0,1.26672,1617911281.77795,
1617929284.93173,-7.754726824868482e+18,3.6966576867081027e+18,1617911284.93173,-0.0,1.19031,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,430.491,430.491,-1.20525,,,,,,0.0,,,0.0,0.0,,,-6.40936,-34.277,-1.0,0.0,0.0,,,,2.0,,,4130.99830006645,-7040.44670000607,,,,,,,-0.0,0.0,0.025,,1.0,8.32471,1617911289.79404,
1617929299.93326,-7.754726824868482e+18,3.6966576867081027e+18,1617911299.93326,-0.0,1.6633,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,430.708,430.708,-1.20525,,,,,,0.0,,,0.0,0.0,,,-6.40936,-34.277,-1.0,0.0,0.0,,,,2.0,,,4130.99830006645,-7040.44670000607,,,,,,,-0.0,0.0,0.02625,,1.0,8.48727,1617911304.74069,
1617929415.23389,7.730621854801656e+18,-4.787918488371493e+18,1617911415.23389,-0.0,0.221657,0.0,0.0,0.0,0.00547864,0.0,-1.0,0.000547864,0.0,13.1216,-0.886134,430.545,430.545,1.22719,0.0,0.0,0.0,0.0,0.180995,0.0,-6.40936,-34.277,0.0,0.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.99830006645,-7040.44670000607,4130.9983,-7040.4467,4131.01690006645,-7040.44270000607,0.0,0.0,0.0,0.0,0.03125,0.0,1.0,3.81152,1617911421.74329,8.2
1617929427.50345,7.730621854801656e+18,-4.787918488371493e+18,1617911427.50345,,0.221657,0.0,0.0,0.0,,,,,,13.1216,-0.888599,430.626,430.626,1.22719,,,,,,0.0,,,0.0,0.0,1.0,7.0,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.03125,,1.0,4.42972,1617911425.74384,
1617929431.60876,7.730621854801656e+18,-4.787918488371493e+18,1617911431.60876,,0.221657,0.0,0.0,0.0,,,,,,,-0.88901,430.518,430.518,1.22719,,,,,,0.0,,,0.0,0.0,1.0,1.0,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.03125,,1.0,0.531677,1617911433.74777,
1617929435.74237,7.730621854801656e+18,-4.787918488371493e+18,1617911435.74237,,0.221657,0.0,0.0,0.0,,,,,,,-0.886545,430.491,430.491,1.22886,,,,,,0.0,,,0.0,0.0,1.0,1.0,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.03125,,1.0,,1617911433.74777,
1617929443.22787,7.730621854801656e+18,-4.787918488371493e+18,1617911443.22787,,0.219911,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,430.572,430.572,-0.965337,,,,,,0.0,,,0.0,0.0,1.0,1.0,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.03125,,1.0,2.09402,1617911454.73828,
1617929458.52533,7.730621854801656e+18,-4.787918488371493e+18,1617911458.52533,,1.6633,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,430.355,430.355,-1.20358,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.0325,,1.0,2.14853,1617911469.7507,
1617998765.00687,5.754256888141661e+18,7.77619770229344e+18,1617980765.00687,0.0,0.00872665,-0.0453786,3.81005,0.0,0.0,-8.47942e-05,-1.0,-0.00494946,0.0,16.1976,-1.00692,0.0,457.893,0.947295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9826,-7040.45,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.0,1.0,1.60175,1617980777.5961,8.2
1617998781.40863,5.754256888141661e+18,7.77619770229344e+18,1617980781.40863,,0.00872665,-0.0488692,3.7926,0.0,0.00547864,0.000301887,,0.000547864,,,,,,-1.20858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.00875,,1.0,12.8636,1617980783.60922,
1618011679.54532,5.916135190801756e+18,7.870193393808276e+18,1617993679.54532,-0.0,0.230383,0.0,0.0,0.0,0.00547864,0.0,-1.0,0.000547864,0.0,13.2261,6.50481,0.0,429.513,1.20887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9826,-7040.45,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017504,0.0,1.0,112.813,1617993604.13995,8.2
1618011719.10565,5.916135190801756e+18,7.870193393808276e+18,1617993719.10565,,0.685914,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,,429.513,-1.0753,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.018752,,1.0,2.46078,1617993729.88382,
1618011734.10687,5.916135190801756e+18,7.870193393808276e+18,1617993734.10687,,1.66504,0.0,0.0,0.0,0.00547864,0.0,,0.000547864,,,,,429.513,-1.21025,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.02,,1.0,2.57135,1617993744.87088,
1618012153.46744,-4.0373468895997317e+18,-6.965226083041622e+18,1617994153.46744,-0.0,0.223402,0.0,0.0,0.00289484,0.00547864,0.0,-1.0,0.000547864,0.0,13.1216,7.6683,421.067,421.067,0.652404,0.0,0.0,0.0,0.0,0.0,0.0,-4.9803,-27.092,0.0,0.0,0.0,0.0,-4.9803,-27.092,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,-2848.65,4046.31,4130.96790006645,-7040.45310000608,4130.9679,-7040.4531,4133.13,-7042.57,0.0,0.0,-0.0,0.0,0.060019,0.0,1.0,65.9096,1617994116.51816,8.2
1618012184.71701,-4.0373468895997317e+18,-6.965226083041622e+18,1617994184.71701,,1.46957,0.0,0.0,0.00289484,0.00547864,0.0,,0.000547864,,,,421.012,421.012,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.060019,,1.0,2.33917,1617994195.51144,
1618019997.77982,6.450822899755749e+18,4.031522651416378e+18,1618001997.77982,0.0,0.00174533,-0.0715585,0.223402,0.00578968,0.0,0.0,-1.0,-0.0363341,0.0,16.1611,8.45916,0.0,421.202,1.18388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,41.4754,1618001972.95056,8.2
1618020017.17316,6.450822899755749e+18,4.031522651416378e+18,1618002017.17316,,-0.0261799,-0.0767945,0.232129,0.00578968,0.0,0.0,,-0.0363341,,,,,421.257,-1.22524,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.05125,,1.0,1.03442,1618002028.94101,
1618020300.10452,-3.5029419782698706e+18,8.986294831247175e+18,1618002300.10452,0.0,0.0575959,-0.0872665,0.191986,0.0,0.0,0.0,-1.0,-0.0390835,0.0,16.1752,8.46245,0.0,421.257,1.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,1.0,12.3766,1618002304.94,8.2
1618020319.48697,-3.5029419782698706e+18,8.986294831247175e+18,1618002319.48697,,0.0663225,-0.0942478,0.511381,-0.00289484,0.0,0.0,,-0.041833,,,,,421.311,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.06875,,1.0,3.70053,1618002328.93332,
1618021204.05289,5.178422571055612e+18,4.073504650584483e+17,1618003204.05289,0.0,-0.00174533,-0.0767945,5.92888,-0.00289484,0.0,0.0,-1.0,-0.0390835,0.0,16.1532,8.5857,0.0,421.42,1.20387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375,0.0,1.0,43.2752,1618003177.39694,8.2
1618021223.4147,5.178422571055612e+18,4.073504650584483e+17,1618003223.4147,,0.0191986,-0.0785398,6.04408,0.0,0.0,0.0,,-0.041833,,,,,421.42,-1.20192,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.015,,1.0,11.8138,1618003224.40305,
1618021446.48483,1.6709452474981696e+16,-4.933292685870406e+18,1618003446.48483,0.0,0.0418879,-0.0733038,6.02488,0.0,0.0,0.0,-1.0,-0.0390835,0.0,16.1632,8.60871,0.0,421.338,1.18887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875,0.0,1.0,14.0681,1618003449.39795,8.2
1618021465.64154,1.6709452474981696e+16,-4.933292685870406e+18,1618003465.64154,,0.0436332,-0.0750492,6.21163,0.0,0.0,0.0,,-0.0445824,,,,,421.392,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.02875,,1.0,13.379,1618003465.40488,
1618023746.8432,8.978689185146085e+18,-6.300213946354519e+18,1618005746.8432,0.0,-0.0261799,-0.162316,2.988,0.00289484,0.0,0.0,-1.0,-0.106169,0.0,16.1815,8.85028,0.0,421.8,1.18388,0.0,0.0,0.0,0.0,0.0,0.0,0.987041,-0.0889366,0.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.44910006647,-7040.61850000613,4131.4492,-7040.6178,0.0,0.0,0.0,0.0,0.0,0.0,0.15875,0.0,1.0,11.0919,1618005753.40811,8.2
1618023766.76883,8.978689185146085e+18,-6.300213946354519e+18,1618005766.76883,,-0.015708,-0.116937,2.81347,0.00289484,0.0,0.0,,-0.106169,,,,,421.908,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.15875,,1.0,5.4664,1618005774.39789,
1618024060.91116,-6.60565592930964e+17,-4.757889074435395e+18,1618006060.91116,0.0,-0.0418879,-0.216421,0.506145,0.0,0.0,0.0,-1.0,-0.0214354,0.0,16.1762,8.95422,0.0,421.881,1.21053,0.0,0.0,0.0,0.0,0.0,0.0,0.668786,-0.190659,0.0,0.0,0.0,7.0,0.668786,-0.190659,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45290006647,-7040.61810000613,4131.4529,-7040.6181,0.0,0.0,0.0,0.0,-0.0,-0.0,0.17625,0.0,1.0,12.1832,1618006065.40436,8.2
