time,m_filename_hash,m_mission_hash,m_present_time,m_speed,m_pitch,m_roll,m_heading,m_fin,m_depth,m_depth_rate,m_water_depth,m_pressure,m_altitude,m_battery,m_vacuum,m_ballast_pumped,m_de_oil_vol,m_battpos,m_thruster_power,m_thruster_current,c_pitch,c_roll,c_heading,c_fin,m_gps_x_lmc,m_gps_y_lmc,m_gps_fix_x_lmc,m_gps_fix_y_lmc,m_gps_status,m_gps_full_status,m_x_lmc,m_y_lmc,m_dr_time,m_dr_surf_x_lmc,m_dr_surf_y_lmc,m_ext_x_lmc,m_ext_y_lmc,m_ext_z_lmc,x_lmc_xy_source,c_wpt_x_lmc,c_wpt_y_lmc,m_lat,m_lon,m_gps_lat,m_gps_lon,c_wpt_lat,c_wpt_lon,m_water_vx,m_water_vy,m_vx_lmc,m_vy_lmc,m_coulomb_amphr,m_thruster_watthr,m_appear_to_be_at_surface,m_science_clothesline_lag,sci_m_present_time,x_software_ver
1618087931.81808,-5.708825815216027e+18,7.682450258631732e+18,1618069931.81808,0.0,-0.113446,-0.0366519,3.70359,-0.452683,12.3884,0.0,,1.23884,,,,,27.6212,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.926254,,0.0,3.59024,1618069930.89554,
1618087936.10962,-5.708825815216027e+18,7.682450258631732e+18,1618069936.10962,0.0,-0.0855211,-0.0401426,3.70708,-0.452683,12.0861,-0.0713285,,1.20861,,,,,53.0959,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.92875,,0.0,3.90585,1618069934.89304,
1618087940.26852,-5.708825815216027e+18,7.682450258631732e+18,1618069940.26852,0.0,-0.0139626,-0.0366519,3.70359,-0.452683,11.8388,-0.0588737,,1.18388,,,,,76.8053,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.932494,,0.0,4.02841,1618069938.90726,
1618087944.60873,-5.708825815216027e+18,7.682450258631732e+18,1618069944.60873,0.0,0.0418879,-0.0314159,3.69486,-0.452683,11.7563,-0.0190179,,1.17563,,,,,102.579,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.935006,,0.0,4.39157,1618069942.88458,
1618087948.74603,-5.708825815216027e+18,7.682450258631732e+18,1618069948.74603,0.0,0.0767945,-0.0349066,3.68614,-0.452683,11.3166,-0.106181,,1.13166,,,,,127.076,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.937502,,0.0,4.51828,1618069946.89606,
1618087953.0332,-5.708825815216027e+18,7.682450258631732e+18,1618069953.0332,0.0,0.0942478,-0.0418879,3.66694,-0.452683,11.2067,-0.0256412,,1.12067,,,,,151.953,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.93875,,0.0,4.81433,1618069950.89279,
1618087957.32516,-5.708825815216027e+18,7.682450258631732e+18,1618069957.32516,0.0,0.122173,-0.0383972,3.64774,-0.45385,10.767,-0.102684,,1.0767,,,,,176.558,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.941262,,0.0,1.11676,1618069958.88022,
1618087961.61703,-5.708825815216027e+18,7.682450258631732e+18,1618069961.61703,0.0,0.137881,-0.0453786,3.61981,-0.452683,10.4922,-0.0641328,,1.04922,,,,,201.979,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.946238,,0.0,1.39551,1618069962.89249,
1618087965.75626,-5.708825815216027e+18,7.682450258631732e+18,1618069965.75626,0.0,0.120428,-0.0471239,3.58142,-0.452683,10.1624,-0.079867,,1.01624,,,,,225.254,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.947502,,0.0,1.53461,1618069966.88953,
1618087970.03922,-5.708825815216027e+18,7.682450258631732e+18,1618069970.03922,0.0,0.125664,-0.0383972,3.57792,-0.452683,9.64031,-0.121146,,0.964031,,16.0349,,,249.696,-0.320573,,,0.209,,1.45003,-0.45,,,,,,,-114.611,-65.632,,,,,,,1.0,,,4133.17411725539,-7040.83183530002,,,,,,,0.0,0.0,0.949998,,0.0,1.8179,1618069970.8895,
