time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574770937.29541,-0.0610865,,,,,246.786,,
1574770941.60379,-0.0418879,,,,,246.773,,
1574770945.83728,-0.0244346,,,,,246.799,,
1574770950.08621,-0.0610865,0.0,0.0,,,246.799,,
1574770956.87311,-0.0698132,,,,,246.799,,
1574770961.10391,-0.00349066,,,-0.202397,-0.0371468,246.748,,
1574770965.60178,-0.129154,0.0,0.0,-0.0,-0.0,246.786,,
1574770970.1572,-0.0453786,0.0,0.0,-0.0,-0.0,246.85,,
1574770974.76886,0.0,0.0,0.0,-0.245046,-0.0782041,247.807,,
1574770979.16498,-0.00174533,0.0,0.0,-0.0,-0.0,248.445,,
1574770983.51132,0.0488692,0.331394,0.102853,-0.0,-0.0,248.764,,
1574770987.9313,0.015708,0.0,-0.0743703,0.0757182,0.299235,246.429,,
1574770992.35342,0.0436332,0.0,0.0,0.0,0.0,237.433,,
1574770996.78058,0.0191986,0.0,0.0,0.0,0.0,228.527,,
1574771001.05988,0.0296706,0.0,0.0,0.0,0.0,220.795,,
1574771005.50165,0.020944,0.0,0.0,0.0,0.0,212.641,,
1574771009.93994,-0.0488692,0.0,0.0,0.0,0.0,204.373,,
1574771014.37329,0.0366519,0.0,0.0,-0.358951,0.0288805,196.36,,
1574771018.79233,-0.0349066,1.57412,0.364887,-0.408828,0.047303,188.321,,
1574771023.21155,0.0593412,0.0,-0.352705,-0.0,0.0,179.874,,
1574771027.63745,0.020944,0.0,0.0,-0.257183,0.00448915,171.644,,
1574771032.05948,-0.00698132,0.0,0.0,-0.20574,-0.00395041,164.142,,
1574771036.48483,0.0610865,0.0,0.0,0.0,0.0,155.925,,
1574771040.77692,0.0,0.0,0.0,-0.205514,0.0104109,148.46,,
1574771045.21799,0.020944,0.0,0.0,-0.293056,0.096919,140.332,,
1574771049.66074,0.0401426,0.0,0.0,-0.421312,0.192003,132.434,,
1574771054.09302,0.0296706,0.0,0.0,-0.0,-0.0,124.931,,
1574771058.51868,0.00349066,0.0,0.0,-0.0,-0.0,117.02,,
1574771062.93243,0.0331613,0.0,0.0,-0.0,-0.0,109.326,,
1574771067.35052,0.0523599,0.0,0.0,-0.0,-0.0,101.849,,
1574771071.76428,0.0645772,0.35901,0.0812056,-0.0,-0.0,94.2571,,
1574771076.02594,0.0226893,0.0,-0.0827784,0.184477,0.0911742,87.0607,,
1574771080.47845,0.00872665,0.0,0.0,-0.308561,-0.00807995,79.7494,,
1574771084.9187,0.0506145,0.773252,0.168428,-0.355968,0.0544707,72.5019,,
1574771089.3598,0.0802851,0.0,-0.173921,-0.479629,0.186036,65.1013,,
1574771093.7825,0.0401426,0.0,0.0,-0.0,0.0,57.9049,,
1574771098.20633,-0.0767945,0.0,0.0,-0.425241,0.183138,50.3256,,
1574771102.62634,-0.0453786,0.0,0.0,-0.411064,0.0201044,43.2185,,
1574771107.2562,-0.00349066,0.0,0.0,-0.256915,0.0125652,35.8179,0.6195,0.2065
