time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574382956.24155,0.420624,0.0,0.0,,,246.237,,
1574383016.1188,0.420624,0.0,0.0,,,246.25,,
1574383020.34146,0.420624,0.0,0.0,,,246.225,,
1574383024.60385,0.420624,0.0,0.0,,,246.237,,
1574383028.82526,0.420624,0.0,0.0,,,246.186,,
1574383033.21469,0.420624,0.0,0.0,,,246.237,,
1574383037.45474,0.420624,0.0,0.0,,,246.199,,
1574383041.69757,0.420624,0.0,0.0,,,246.212,,
1574383045.92255,0.420624,0.0,0.0,,,246.237,,
1574383050.31815,0.420624,0.0,0.0,,,246.199,,
1574383054.54037,0.420624,0.0,0.0,,,246.174,,
1574383058.7673,0.420624,0.0,0.0,,,246.276,,
1574383063.00934,0.420624,0.0,0.0,-0.0210764,-0.256357,246.263,,
1574383067.54517,0.420624,0.0,0.0,0.239488,-0.0938544,246.174,,
1574383072.06909,0.420624,0.0,0.0,-0.0,-0.0,246.875,,
1574383078.38452,0.420624,0.0,0.0,0.193242,-0.169767,247.296,,
1574383083.03757,0.420624,0.0,0.0,-0.0756199,-0.456783,244.26,,
1574383087.52628,0.420624,0.0,0.0,-0.0,-0.0,234.728,,
1574383091.96652,0.420624,0.0,0.0,-0.0272154,-0.20397,225.988,,
1574383096.38409,0.420624,0.0828828,0.0194606,0.187048,-0.245536,217.949,,
1574383100.80609,0.420624,1.85105,0.409014,0.155874,-0.204613,209.643,,
1574383105.24423,0.420624,0.11051,-0.377066,-0.0742937,-0.404794,201.477,,
1574383109.67438,0.420624,0.0,-0.0258989,-0.0,-0.0,193.642,,
1574383114.10559,0.420624,0.11051,0.0248226,-0.18828,-0.0683131,185.438,,
1574383118.54767,0.420624,0.0,-0.023563,0.12996,-0.279974,176.812,,
1574383123.00598,0.420624,0.856456,0.199083,-0.196755,-0.165683,168.455,,
1574383127.44998,0.420624,0.0,-0.192505,-0.287598,-0.21672,160.684,,
1574383131.90378,0.420624,0.0,0.0,-0.0,-0.0,152.492,,
1574383136.32278,0.420624,0.0,0.0,0.251027,-0.0561113,144.377,,
1574383140.75342,0.420624,0.193393,0.0441336,0.0,-0.0,136.364,,
1574383145.20706,0.420624,0.0,-0.0434201,0.225745,-0.21051,128.619,,
1574383149.63354,0.420624,0.442042,0.0995814,-0.16396,-0.198193,120.682,,
1574383154.05627,0.420624,0.0,-0.1001,-0.0198193,-0.256066,112.58,,
1574383158.37445,0.420624,0.0,0.0,-0.156708,-0.133369,105.269,,
1574383162.82062,0.420624,0.0,0.0,-0.130163,-0.221858,97.664,,
1574383167.26041,0.420624,0.0,0.0,0.0992601,-0.346161,90.2251,,
1574383171.70898,0.420624,0.0,0.0,-0.36683,-0.282497,82.6203,,
1574383176.12482,0.420624,0.0,0.0,-0.163036,-0.125554,75.3728,,
1574383180.54062,0.420624,0.0,0.0,0.125126,-0.392073,68.2147,,
1574383184.95663,0.420624,0.0,0.0,0.131396,-0.335284,60.9544,,
1574383189.37833,0.420624,0.0,0.0,0.00493801,-0.257175,53.6431,,
1574383193.79526,0.420624,0.497297,0.111627,-0.317875,0.0761226,46.3191,,
1574383198.09308,0.420624,0.0,-0.112536,0.157866,-0.131996,39.6203,,
1574383202.54251,0.420624,0.0,0.0,0.359256,-0.200781,32.0028,,
1574383207.00778,0.420624,0.0,0.0,-0.18604,-0.0879408,25.0615,,
1574383211.43359,0.420624,0.0,0.0,-0.440037,-0.266496,18.1713,,
1574383215.85193,0.420624,1.13273,0.263733,-0.0,-0.0,11.0386,,
1574383220.28842,0.420624,0.0,-0.253862,0.376266,-0.166738,4.23774,,
1574383224.86847,0.420624,0.607807,0.132564,-0.233553,-0.458373,-2.76731,,
1574383229.29221,0.420624,0.0,-0.137451,0.031365,-0.313111,-9.74685,,
1574383233.60669,0.420624,0.359159,0.0812209,-0.11744,-0.168974,-16.1267,,
1574383238.05438,0.420624,0.0,-0.0806374,0.0840438,-0.297005,-22.7489,,
1574383242.51215,0.420624,0.58018,0.130348,0.0,-0.0,-29.3202,,
1574383246.9559,0.420624,0.221021,-0.0807825,0.0,-0.0,-35.8786,,
1574383251.39517,0.420624,0.0,-0.0480376,0.0,-0.0,-42.5902,,
1574383255.8302,0.420624,0.0,0.0,-0.285312,-0.21972,-48.6766,,
1574383260.24875,0.420624,0.0,0.0,-0.198193,-0.16396,-54.8395,,
1574383264.6727,0.420624,0.0,0.0,-0.0,-0.0,-61.0279,,
1574383269.09265,0.420624,0.0,0.0,-0.151221,-0.109616,-67.3312,,
1574383273.38602,0.420624,0.0,0.0,-0.0,-0.0,-73.392,,
1574383277.82504,0.420624,0.0,0.0,-0.0938106,-0.347677,-79.4146,,
1574383282.26892,0.420624,0.0,0.0,-0.251957,-0.25729,-85.6668,,
1574383286.70654,0.420624,0.0,0.0,-0.179969,-0.183778,-91.5873,,
1574383291.12918,0.420624,0.0,0.0,0.323944,-0.330801,-97.5971,,
1574383295.57242,0.420624,0.0,0.0,-0.521204,0.419059,-103.339,,
1574383299.98956,0.420624,0.69069,0.163245,-0.0,0.0,-109.004,,
1574383304.4169,0.420624,0.0,-0.150477,-0.0,0.0,-114.797,,
1574383308.83859,0.420624,0.0,0.0,-0.151221,-0.109616,-120.169,,
1574383313.28705,0.420624,0.58018,0.132916,0.0,-0.0,-125.592,,
1574383317.72943,0.420624,0.0,-0.125039,-0.223528,-0.212863,-131.397,,
1574383322.19235,0.420624,0.0,0.0,-0.41859,-0.197867,-136.514,,
1574383326.6369,0.420624,0.0,0.0,0.0,-0.0,-142.383,,
1574383331.06509,0.420624,0.0,0.0,0.48342,-0.17595,-147.717,,
1574383335.48984,0.420624,0.0,0.0,-0.203073,-0.0332545,-152.719,,
1574383339.91061,0.420624,0.0,0.0,-0.405672,-0.0693427,-157.95,,
1574383344.33041,0.420624,0.0,0.0,-0.151221,-0.109616,-163.08,,
1574383348.7742,0.420624,0.0,0.0,-0.13055,-0.22163,-168.222,,
1574383353.2081,0.420624,0.0,0.0,-0.188996,-0.0813945,-173.058,,
1574383357.64478,0.420624,0.0,0.0,-0.236245,-0.101743,-178.111,,
1574383362.08972,0.420624,0.0,0.0,-0.662431,-0.0919199,-183.189,,
1574383366.53122,0.420624,0.0,0.0,0.565819,-0.0088886,-188.293,,
1574383370.96332,0.420624,0.69069,0.166833,0.182527,-0.0950176,-193.384,,
1574383375.38635,0.420624,0.0,-0.155072,-0.163908,-0.124413,-198.475,,
1574383379.84439,0.420624,0.0,0.0,-0.0693667,-0.193734,-203.872,,
1574383384.26297,0.420624,0.0,0.0,-0.151221,-0.109616,-209.231,,
1574383388.53403,0.420624,0.0,0.0,0.143004,-0.273542,-215.037,,
1574383392.9769,0.420624,0.0,0.0,-1.4318,-0.912156,-221.736,,
1574383397.41406,0.420624,0.0,0.0,-2.73955,-1.3067,-228.741,,
1574383401.85892,0.420624,0.0,0.0,-2.73955,-1.3067,-236.027,,
1574383406.28384,0.420624,0.248648,0.0583956,-2.73955,-1.3067,-243.427,,
1574383410.70703,0.420624,0.58018,0.0768145,-2.73955,-1.3067,-251.364,,
1574383415.16138,0.420624,1.07748,0.111202,-2.73955,-1.3067,-259.696,,
1574383419.53955,0.420624,1.57477,0.115489,-2.73955,-1.3067,,,
1574383423.87125,0.420624,2.12733,0.125494,-0.338579,0.0991976,-261.01,,
1574383428.20578,0.420624,2.62462,0.111928,-2.73955,-1.3067,-261.036,,
1574383432.7157,0.420624,3.2048,0.131055,-0.34688,0.10845,-261.048,,
1574383437.24512,0.420624,3.86786,0.146598,-0.370085,0.134312,-261.036,,
1574383441.76947,0.420624,4.44804,0.127708,-0.341884,0.102882,-261.036,,
1574383446.11151,-0.60912,5.11111,0.141771,-0.330513,-0.0492778,-261.023,,
1574383450.20914,-0.637045,5.82942,0.146955,-0.321845,-0.036134,-261.036,,
1574383454.59378,-0.722566,6.4096,0.174543,-0.315505,-0.0189263,-261.061,0.6195,0.2065
1574383458.81238,-0.722566,7.54234,0.267343,-0.375848,0.0729334,-261.087,0.6195,0.2065
1574383463.03439,-0.647517,8.64744,0.264,-0.377081,0.131744,-261.125,0.6195,0.2065
1574383467.25012,-0.600393,9.75254,0.250647,-0.355455,0.167401,-261.176,0.6195,0.2065
1574383471.63138,-0.595157,10.8576,0.252653,-0.309849,0.203056,-261.214,0.6195,0.2065
1574383475.84979,-0.555015,11.9075,0.261417,-0.273537,0.26461,-261.189,0.7434,0.2478
1574383480.06555,-0.55676,13.0402,0.257615,-0.22232,0.2703,-261.227,0.6195,0.2065
1574383484.28177,-0.55676,14.0624,0.24206,-0.16768,0.25284,-261.278,0.6195,0.2065
1574383488.65158,-0.537561,15.2228,0.268726,-0.116827,0.308729,-261.278,0.6195,0.2065
1574383492.8638,-0.47822,16.2174,0.233637,-0.0652846,0.294682,-261.291,0.6195,0.2065
1574383497.08459,-0.464258,17.0739,0.203192,-0.0357365,0.241631,-261.278,0.6195,0.2065
1574383501.29724,-0.479966,17.9303,0.20509,-0.0114984,0.22277,-261.291,,
1574383505.66748,-0.479966,19.0078,0.241533,0.220928,0.0975189,-261.278,3.68668,0.5782
1574383509.8988,-0.466003,20.3063,0.307119,0.175898,0.345617,-261.278,3.40788,0.5369
