time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574387162.87808,0.445059,0.0,0.0,,,246.863,,
1574387225.72565,0.445059,0.0,0.0,,,246.863,,
1574387229.95279,0.445059,0.0,0.0,,,246.837,,
1574387234.24957,0.445059,0.0,0.0,,,246.901,,
1574387238.48038,0.445059,0.0,0.0,,,246.901,,
1574387242.88345,0.445059,0.0,0.0,,,246.824,,
1574387247.11905,0.445059,0.0,0.0,,,246.837,,
1574387251.34296,0.445059,0.0,0.0,,,246.863,,
1574387255.564,0.445059,0.0,0.0,,,246.863,,
1574387259.95306,0.445059,0.0,0.0,,,246.863,,
1574387264.16895,0.445059,0.0,0.0,,,246.824,,
1574387268.3959,0.445059,0.0,0.0,,,246.901,,
1574387272.634,0.445059,0.0,0.0,,,246.85,,
1574387277.04306,0.445059,0.0,0.0,0.419338,-0.298008,246.863,,
1574387281.5665,0.445059,0.0,0.0,0.269442,-0.150586,246.901,,
1574387286.07379,0.445059,0.852937,0.165394,-0.339985,-0.231922,247.296,,
1574387290.75598,0.445059,0.797731,-0.0141991,0.0,-0.0,246.62,,
1574387295.38513,0.445059,0.135255,-0.120035,0.0895609,-0.185266,236.987,,
1574387299.80954,0.445059,0.659715,0.153981,-0.158975,-0.264579,228.119,,
1574387304.23438,0.445059,0.0800491,-0.130379,-0.150666,0.147174,219.57,,
1574387308.54935,0.445059,1.07376,0.227083,-0.207737,-0.228299,211.965,,
1574387312.98749,0.445059,0.135255,-0.209115,-0.160681,-0.322276,203.454,,
1574387317.44583,0.445059,1.4326,0.291212,0.202932,-0.297487,195.377,,
1574387321.89731,0.445059,0.0248428,-0.316564,0.170814,-0.257095,187.084,,
1574387326.31906,0.445059,0.0248428,0.0,-0.272191,-0.235779,178.866,,
1574387330.74353,0.445059,1.4326,0.317492,-0.227324,-0.120362,170.471,,
1574387335.16385,0.445059,0.052446,-0.313245,-0.240743,-0.333798,162.623,,
1574387339.582,0.445059,1.48781,0.325332,-0.180557,-0.250348,154.381,,
1574387344.01038,0.445059,0.852937,-0.142189,-0.156128,0.169412,146.482,,
1574387348.46292,0.445059,0.0,-0.187996,-0.0,-0.0,138.444,,
1574387352.95569,0.445059,1.32219,0.294475,0.149004,-0.209669,130.201,,
1574387357.40097,0.445059,1.3774,0.0124451,0.0,-0.0,122.201,,
1574387361.84537,0.445059,0.604509,-0.167946,0.0822317,-0.350597,114.2,,
1574387366.28873,0.445059,0.96335,0.082969,0.327809,-0.461272,106.672,,
1574387370.71112,0.445059,0.0,-0.223775,0.254192,-0.255081,99.0803,,
1574387375.15515,0.445059,1.07376,0.243318,-0.3935,-0.243981,91.6414,,
1574387379.58594,0.445059,0.0800491,-0.224062,0.225621,-0.123524,83.909,,
1574387384.00937,0.445059,0.494096,0.0935488,-0.0454844,-0.281049,76.8657,,
1574387388.28571,0.445059,0.135255,-0.082171,-0.0709001,-0.247258,69.5417,,
1574387392.72424,0.445059,2.01227,0.42237,0.349019,-0.218091,62.1793,,
1574387397.16623,0.445059,0.0248428,-0.431861,0.338358,-0.23429,54.9829,,
1574387401.61063,0.445059,1.15657,0.263868,-0.201024,-0.160476,47.4675,,
1574387406.04395,0.445059,1.18417,0.00636457,-0.0,-0.0,40.22,,
1574387410.50244,0.445059,0.0248428,-0.249587,-0.277871,-0.229059,33.3553,,
1574387414.92972,0.445059,0.96335,0.221712,-0.305724,-0.190297,26.1461,,
1574387419.35239,0.445059,0.852937,-0.0249746,-0.102065,-0.0506947,19.2048,,
1574387423.66818,0.445059,1.59822,0.16973,0.0,-0.0,12.4039,,
1574387428.10999,0.445059,1.34979,-0.053784,0.2791,-0.302458,5.42439,,
1574387432.71823,0.445059,0.0,-0.302305,-0.150006,-0.140865,-1.70826,,
1574387437.1651,0.445059,0.88054,0.198052,-0.320576,-0.164047,-8.48364,,
1574387441.60147,0.445059,1.57062,0.155144,0.0,-0.0,-15.2973,,
1574387446.03958,0.445059,0.0,-0.363149,0.178209,-0.102889,-21.7409,,
1574387450.46436,0.445059,0.797731,0.174215,0.255081,-0.254192,-28.2866,,
1574387454.88617,0.445059,0.0,-0.180605,0.6066,-0.114618,-34.8834,,
1574387459.31229,0.445059,1.4326,0.33574,0.0756345,-0.774156,-41.3653,,
1574387463.58865,0.445059,0.0,-0.328052,0.359256,-0.200781,-47.4644,,
1574387468.03482,0.445059,0.88054,0.196418,-0.143004,-0.273542,-53.7549,,
1574387472.47577,0.445059,1.59822,0.156256,0.308023,-0.019919,-59.9051,,
1574387476.91837,0.445059,1.04616,-0.128716,0.0,-0.0,-66.3742,,
1574387481.36533,0.445059,2.81276,0.406489,0.0,-0.0,-72.384,,
1574387485.78769,0.445059,0.190462,-0.57193,-0.378654,-0.420537,-78.8276,,
1574387490.22559,0.445059,1.04616,0.199976,-0.420976,-0.192738,-84.6205,,
1574387494.64972,0.445059,0.0,-0.237601,-0.0,-0.0,-90.7452,,
1574387499.07144,0.445059,0.825334,0.186981,0.00124066,-0.471279,-96.6784,,
1574387503.3826,0.445059,0.0,-0.187235,-0.0,-0.0,-102.203,,
1574387507.82312,0.445059,1.73624,0.39175,-0.0,-0.0,-107.945,,
1574387512.25717,0.445059,0.162859,-0.341965,-0.208093,-0.2939,-113.789,,
1574387516.70618,0.445059,2.06748,0.442728,-0.14197,-0.214494,-119.25,,
1574387521.12802,0.445059,0.107652,-0.437461,-0.0608501,-0.196575,-124.75,,
1574387525.55389,0.445059,0.935747,0.192759,0.149645,-0.269966,-130.351,,
1574387529.9986,0.445059,1.26698,0.0746367,0.175454,-0.107519,-135.519,,
1574387534.42493,0.445059,1.54302,0.0621413,-0.223156,-0.213252,-141.018,,
1574387538.85272,0.445059,0.0,-0.349415,-0.252019,0.55981,-146.441,,
1574387543.31406,0.445059,0.825334,0.182879,-0.0,-0.0,-151.8,,
1574387547.75348,0.445059,2.20549,0.299513,-0.0,-0.0,-157.172,,
1574387552.19974,0.445059,0.0,-0.513861,-0.138584,-0.216697,-162.289,,
1574387556.63522,0.445059,1.65343,0.372898,-0.145507,-0.145507,-167.303,,
1574387561.05768,0.445059,0.0248428,-0.376639,-0.315568,-0.173485,-172.203,,
1574387565.50427,0.445059,0.632112,0.13534,-0.0,-0.0,-177.205,,
1574387569.94858,0.445059,0.604509,-0.00623377,0.312482,-0.26783,-182.181,,
1574387574.3718,0.445059,0.135255,-0.106552,-0.139648,0.102317,-187.03,,
1574387578.81839,0.445059,0.0248428,-0.0242452,0.0620339,-0.141317,-191.827,,
1574387583.26572,0.445059,0.687318,0.144677,0.0,-0.0,-196.714,,
1574387587.70676,0.445059,1.54302,0.199883,-0.0713315,-0.247134,-201.818,,
1574387592.14621,0.445059,0.659715,-0.196946,-0.0,-0.0,-207.445,,
1574387596.59082,0.445059,0.411287,-0.0556889,0.14004,-4.01022,-213.365,,
1574387601.01721,0.445059,0.43889,0.00642831,-1.05401,-0.823481,-219.898,,
1574387605.44244,0.445059,0.632112,0.0434402,-1.74425,0.762042,-226.84,,
