time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574395482.57758,0.0191986,0.0,0.0,,,253.561,,
1574395541.51633,0.0191986,0.0,0.0,,,253.498,,
1574395545.74814,0.0191986,0.0,0.0,,,253.51,,
1574395550.05649,0.0191986,0.0,0.0,,,253.51,,
1574395554.2803,0.0191986,0.0,0.0,,,253.523,,
1574395558.67575,0.0191986,0.0,0.0,,,253.587,,
1574395562.9144,0.0191986,0.0,0.0,,,253.549,,
1574395570.13266,0.0191986,0.0,0.0,,,253.485,,
1574395574.52597,0.0191986,0.0,0.0,,,253.523,,
1574395578.74918,0.0191986,0.0,0.0,,,253.51,,
1574395582.99435,0.0191986,0.0,0.0,0.251601,-0.0534795,253.459,,
1574395587.52798,0.0191986,0.0,0.0,-0.0,-0.0,253.498,,
1574395592.05362,0.0191986,0.566483,0.111512,-0.144232,-0.146771,254.097,,
1574395596.7514,0.0191986,0.0,-0.136766,-0.0,-0.0,253.408,,
1574395601.27591,0.0191986,0.0,0.0,-0.0,-0.0,244.119,,
1574395605.73282,0.0191986,0.0,0.0,-0.0,-0.0,235.417,,
1574395610.1514,0.0191986,0.0,0.0,-0.0,-0.0,226.753,,
1574395614.64688,0.0191986,0.234883,0.0525937,-0.0,-0.0,218.485,,
1574395619.06509,0.0191986,0.0,-0.0528302,0.0740486,-0.00483108,210.434,,
1574395623.34534,0.0191986,0.0,0.0,-0.0,-0.0,202.421,,
1574395627.78134,0.0191986,0.0,0.0,-0.0,-0.0,194.255,,
1574395632.21661,0.0191986,0.0,0.0,-0.180289,-0.183464,186.178,,
1574395636.64136,0.0191986,0.0,0.0,-0.142048,-0.274039,177.731,,
1574395641.06796,0.0191986,0.0138167,0.00320647,-0.0,-0.0,169.794,,
1574395645.50201,0.0191986,0.0,-0.00307927,-0.0,-0.0,161.692,,
1574395649.92856,0.0191986,0.0,0.0,-0.0,-0.0,153.309,,
1574395654.35077,0.0191986,0.0,0.0,0.0740486,-0.00483108,145.462,,
1574395658.61682,0.0191986,1.09152,0.250981,-0.0710242,-0.13702,137.653,,
1574395663.0571,0.0191986,0.0,-0.243154,0.0,-0.0,129.703,,
1574395667.57208,0.0191986,0.0,0.0,0.0978729,-0.181012,121.639,,
1574395672.01205,0.0191986,0.0,0.0,0.180056,-0.311865,113.69,,
1574395676.43243,0.0191986,0.0,0.0,0.306387,-0.189228,106.149,,
1574395680.85193,0.0191986,0.0,0.0,0.0,-0.0,98.5189,,
1574395685.30469,0.0191986,0.0,0.0,0.057755,-0.197507,91.131,,
